id,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,cos alpha,cos beta,cos gamma,w = croot(V),GaGaDist,GaAlDist,GaInDist,GaODist,AlAlDist,AlInDist,AlODist,InInDist,InODist,OODist,GaGaDist2,GaAlDist2,GaInDist2,GaODist2,AlAlDist2,AlInDist2,AlODist2,InInDist2,InODist2,OODist2,GaGaDist3,GaAlDist3,GaInDist3,GaODist3,AlAlDist3,AlInDist3,AlODist3,InInDist3,InODist3,OODist3,formation_energy_ev_natom,bandgap_energy_ev
11,167,60,0.5833,0.4167,0,9.8307,4.915,13.3346,1.60E-04,-1.80E-04,-5.00E-01,8.232617206,2.800269153,2.800269153,0,1.904296634,2.800269153,0,1.904296634,0,0,2.579424599,6.667307507,2.896132268,0,1.904302967,2.800269153,0,1.904296634,0,0,2.579424599,0,3.279774388,0,1.904382949,6.667307507,0,1.904302967,0,0,2.579550046,0.0581,3.8723
12,194,80,0.5938,0.4062,0,6.1935,6.1934,23.6522,-3.30E-04,3.00E-05,-5.00E-01,9.227542958,3.096623096,3.096623096,0,1.787654142,3.096623096,0,1.787654142,0,0,2.636322752,3.096682127,5.363630297,0,1.938294937,3.096758059,0,1.938294937,0,0,2.636322752,3.096758059,0,0,2.056983042,11.82608259,0,2.056983042,0,0,2.636322752,0.259,2.8805
13,33,40,0.8125,0.1875,0,4.9323,8.4765,9.1059,-8.00E-05,-4.00E-05,-3.00E-05,7.247634913,3.002323181,2.917927969,0,1.766140318,2.890854439,0,1.755954498,0,0,2.590346443,5.138374744,6.259854582,0,1.794741401,2.917927969,0,1.756001354,0,0,2.590351634,6.142063013,0,0,1.794767514,6.158929817,0,1.801524971,0,0,2.641194388,0.0535,3.9039
14,206,80,0.125,0.875,0,9.3513,9.3512,9.3507,-1.00E-04,-9.00E-05,1.20E-04,9.351066613,3.089279086,3.089279086,0,1.971021736,4.675368595,0,1.997127315,0,0,2.593755293,3.089337813,3.089279086,0,1.971027095,6.611953243,0,1.997132859,0,0,2.593809613,3.089360359,3.089593639,0,1.971090562,0,0,1.997132859,0,0,2.593867309,0.078,2.5371
15,194,80,0.375,0.125,0.5,6.6318,6.6314,24.4597,-2.70E-04,-1.20E-04,-5.00E-01,9.766780243,3.607477271,3.315680783,3.315890972,1.914276634,3.315680783,3.315680783,1.914276634,3.315680783,1.914276634,2.771183047,6.114920704,3.315680783,3.315890972,1.914685178,3.315890972,3.315680783,2.004471007,3.315680783,2.004471007,2.771183047,0,3.315890972,3.316198662,2.004471007,3.316198662,3.315890972,2.184425849,3.315890972,2.184425849,2.845830103,0.39,0.9251
16,12,80,0.4375,0.1875,0.375,24.3679,6.2545,6.1721,1.00E-05,-2.56E-01,0.00E+00,9.688034026,3.283366636,3.12725318,3.12725318,1.870095144,3.12725318,3.12725318,1.870095144,3.12725318,1.870095144,2.70515586,4.534329759,3.12725318,3.283366636,1.870096585,3.12725318,3.12725318,1.870095144,3.283366636,1.870095144,2.70515586,7.583199078,3.747161572,5.539426039,1.870096585,0,3.12725318,1.870095144,3.633895369,1.944609662,2.705164963,0.166,1.5852
17,194,80,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,-1.60E-04,-5.00E-05,-5.00E-01,9.13286799,6.615997473,3.061610869,3.424120874,2.035406419,3.061610869,3.061610869,1.767434457,0,1.767434457,2.611103192,0,3.061946714,4.593367324,2.035775431,3.061610869,3.06175115,1.767434457,0,1.922359287,2.611103192,0,12.12178832,0,3.67697496,3.061610869,3.423378528,1.922359287,0,1.922359287,2.683918798,0.2544,2.2913
18,12,80,0,0.4062,0.5938,24.765,6.5014,6.486,-1.00E-05,-2.63E-01,0.00E+00,10.02514774,3.25068066,0,3.25068066,1.930019662,0,0,0,3.25068066,1.930019662,2.786615629,3.25068066,0,3.25068066,1.930019662,0,0,0,3.351618389,2.024488921,2.786615629,0,0,3.351618389,1.930019662,0,0,0,3.803259188,13.86962752,2.786615629,0.0503,1.1844
19,167,30,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,1.00E-04,-1.10E-04,-5.00E-01,6.744966005,2.798677903,2.798677903,2.981363754,1.976422157,2.798677903,2.981363754,1.976321876,2.798677903,1.976321867,2.698644688,0,3.719457912,5.428574626,1.976469506,0,3.719670181,1.976422166,4.050351775,1.976321876,2.698644688,0,4.050351775,0,1.976607319,0,0,1.97642269,0,2.094114544,2.698787025,0.1919,2.567
20,12,20,0.25,0.25,0.5,12.2649,3.1889,6.3388,0.00E+00,-2.60E-01,0.00E+00,6.208993348,3.364229849,3.722674944,3.216198196,1.899032799,6.336344463,3.313986302,1.899030398,3.216200561,1.899030398,2.744701287,0,3.823815149,3.313986302,1.986056908,0,3.313986302,1.899032799,3.722674944,1.986056908,2.744704812,0,6.271973552,5.381073747,3.304873636,0,3.722672956,1.986056908,0,3.304877619,2.847488692,0.2063,1.5596
21,33,80,0,0.375,0.625,10.9377,9.3249,9.9463,2.00E-05,3.00E-05,0.00E+00,10.04794498,3.228152115,0,3.197668222,1.942077365,0,0,0,3.197668222,1.942079474,2.844857041,3.32040933,0,3.464229504,1.955492814,0,0,0,3.228152115,1.942079474,2.893699808,3.32040933,0,3.584741683,1.955532716,0,0,0,3.417337191,1.98110139,3.072496108,0.0918,1.1365
22,167,30,0.5833,0.4167,0,4.9153,4.915,13.3346,1.60E-04,-1.80E-04,-5.00E-01,6.534210451,3.318347394,2.724421863,0,1.912705329,2.724421863,0,1.912705321,0,0,2.608028119,3.604509871,6.667307507,0,1.913062494,0,0,1.912782434,0,0,2.608028119,5.273260268,0,0,2.030499365,0,0,1.91283947,0,0,2.608154956,0.0566,3.9691
23,167,30,0.6667,0,0.3333,5.0674,5.0672,13.6668,1.70E-04,-1.80E-04,-5.00E-01,6.723280504,0,0,0,0,2.870024619,2.870024619,1.961178416,3.96336733,1.961100364,2.659254085,0,0,0,0,6.833391949,2.984760836,1.961178429,3.96336733,1.961100376,2.659254085,0,0,0,0,0,2.984918642,1.961231694,0,3.587845185,2.659397294,0.2027,2.9122
24,194,80,0.1562,0.5625,0.2812,6.5405,6.5403,24.3429,-8.00E-05,-5.00E-05,-5.00E-01,9.661589112,3.270133276,3.270133276,3.270133276,1.88797097,3.581007408,3.270133276,1.88797097,3.270230055,1.88797097,2.746476115,3.270230055,3.270133276,3.270230055,1.888310094,6.908906563,3.270230055,1.994900389,3.270564761,1.994900389,2.746476115,4.849555141,3.270230055,3.270230055,1.994900389,0,0,1.994900389,0,2.159205664,2.820765234,0.2753,1.1811
25,167,30,0.75,0.1667,0.0833,4.9172,4.917,13.3449,2.00E-04,-2.20E-04,-5.00E-01,6.537612164,6.672454112,2.726524889,2.882835322,1.913645297,2.726524889,2.726524889,1.913582122,0,1.913884667,2.609065665,0,2.882835322,6.792081618,1.913739698,2.726524889,0,1.91358213,0,2.031677479,2.609065665,0,3.60650694,0,1.913985883,2.882970273,0,1.913739698,0,3.673431927,2.609195381,0.0916,4.0371
26,33,40,0.875,0,0.125,4.987,8.5565,9.1881,-1.00E-04,-4.00E-05,-2.00E-05,7.319033662,0,0,0,0,2.921455622,2.94892453,1.774816187,6.200087697,1.810957796,2.615646421,0,0,0,0,2.94892453,0,1.774855858,0,1.999077477,2.615652397,0,0,0,0,3.149363977,0,1.818895242,0,2.016215138,2.665695837,0.1783,3.3353
27,227,40,0.4375,0.25,0.3125,6.0436,6.0427,14.2577,-2.80E-04,-6.00E-05,-5.00E-01,7.668296888,2.948281334,2.947711867,2.947607496,1.916649302,3.021367142,2.947607465,1.853494943,3.445123054,1.853494943,2.829703139,3.508262403,2.94771192,3.021470991,3.5521929,3.021780339,2.948281188,1.916545238,3.508104643,1.916544426,2.829803446,8.001526202,3.021367142,3.44413037,12.81402205,0,3.021367142,2.066752564,3.50828105,0,2.900512456,0.3518,0.976
28,227,40,0.875,0.125,0,9.7899,5.6664,13.9461,-9.97E-03,-1.15E-02,8.64E-01,7.304439375,8.628547978,2.824423526,0,1.812993914,2.824423356,0,1.794737943,0,0,2.71144653,0,2.833211532,0,1.9740496,2.854675044,0,6.551506198,0,0,2.719883071,0,3.348624814,0,4.469968216,2.854710145,0,13.05032249,0,0,11.67235571,0.2237,1.9672
29,12,80,0.0938,0.5,0.4062,24.717,6.3698,6.2742,0.00E+00,-2.56E-01,0.00E+00,9.84779687,3.18488041,3.18488041,3.18488041,1.902383478,5.420057882,3.21863709,1.902383478,3.18488041,1.902383478,2.748084804,3.18488041,3.18488041,3.330665676,1.902383478,17.67397836,3.330665676,1.974758578,3.330665676,1.974758578,2.748084804,0,3.694040449,3.330665676,1.902383478,0,3.330665676,3.747415317,3.330665676,3.456134986,2.748085395,0.1898,1.1496
30,206,80,0.8125,0.0312,0.1562,9.2018,9.2011,9.2015,-3.00E-05,-5.00E-05,2.00E-05,9.201466656,0,3.039946008,3.039946008,1.965223267,3.039946008,3.040004816,1.939522867,4.600558563,1.939621619,2.55229984,0,3.040051701,4.600725367,1.965223267,3.040004816,3.040026981,1.939554399,0,1.965195667,2.55229984,0,3.040186768,6.506403992,1.965248654,3.040026981,3.04005116,1.965195667,0,1.965195667,2.578124906,0.2106,3.3923
31,194,80,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,-2.10E-04,-9.00E-05,-5.00E-01,9.639223303,3.262874675,3.262874675,3.262874675,1.883756704,3.263025302,3.262874675,1.883756704,3.262874675,1.883756704,2.739719419,3.263025302,3.262874675,3.263025302,1.989920551,5.652096172,3.263025302,1.989920551,3.263025302,1.88412628,2.814122181,0,3.263270908,3.263270908,2.154088993,0,4.837805294,1.989920551,3.572131006,1.989920551,2.814168339,0.3269,1.546
32,227,40,0,0.25,0.75,10.4296,6.1786,15.1318,-1.17E-01,-1.39E-01,8.44E-01,8.030270542,3.041604083,0,3.089081932,1.960243172,0,0,0,3.041524649,1.960243172,2.91986338,0,0,3.255777815,1.960243172,0,0,0,3.255777625,1.967129397,2.965518655,0,0,3.445970938,2.275443644,0,0,0,3.381825557,6.267722709,2.965725851,0.2721,0.4095
33,33,40,0.5625,0,0.4375,5.2334,8.9433,9.5725,-6.00E-05,-1.00E-05,-1.00E-05,7.651895573,0,0,0,0,3.06205452,3.100679757,1.86023984,3.100679757,1.860246078,2.732216329,0,0,0,0,3.091090173,3.284986908,1.90095836,6.58554626,2.177219768,2.732220506,0,0,0,0,6.494998757,3.285158481,2.014667514,0,3.773808772,2.781109403,0.2342,2.1264
34,12,80,0.5938,0.2188,0.1875,24.2551,6.1051,5.9477,1.00E-05,-2.49E-01,0.00E+00,9.484073549,3.052565205,3.052565205,3.052565205,1.837424571,3.052565205,3.052565205,1.837424571,3.052565205,1.837424571,2.659940886,3.109330305,3.052565205,3.254252427,1.837424571,3.052565205,3.254252427,1.890886108,3.109330305,1.837425393,2.659955238,3.10934307,3.651568253,3.254252427,1.890886108,0,3.3112838,0,3.3112838,1.890886108,3.052565205,0.1469,2.4457
35,206,80,0,0.5625,0.4375,9.7916,9.7916,9.7914,-6.00E-05,-5.00E-05,8.00E-05,9.791533313,3.23488346,0,3.234891505,2.063903222,0,0,0,3.23488346,2.063894675,2.716006106,3.234891505,0,3.234901844,2.063916008,0,0,0,8.480231977,2.063913227,2.716037989,3.234901844,0,3.235141696,2.063938635,0,0,0,0,2.064074593,2.716045729,0.1259,1.3632
36,12,80,0.3438,0.4062,0.25,24.4984,6.2112,6.0629,0.00E+00,-2.50E-01,0.00E+00,9.630700459,3.10560564,3.10560564,3.10560564,1.865003675,3.10560564,3.10560564,1.865003675,3.10560564,1.865003675,2.697001849,3.10560564,3.10560564,3.10560564,1.921955496,3.711807382,0,1.921955496,3.154908889,1.865005831,2.697001849,0,3.348657586,3.290355958,0,6.111292712,0,13.67332596,3.581094924,1.921955496,2.697001849,0.1064,1.9758
37,33,40,0.5,0,0.5,5.2826,9.0207,9.6494,-6.00E-05,0.00E+00,-1.00E-05,7.718438095,0,0,0,0,3.090177005,3.119524968,1.889691681,3.129189464,1.877324607,2.755538687,0,0,0,0,3.359229893,6.550333624,1.901974422,3.129189464,2.032120381,2.755542465,0,0,0,0,3.474540302,0,1.901974802,3.312094971,2.106583286,2.80419456,0.2341,1.9983
38,33,80,0.3125,0.0625,0.625,10.7916,9.2003,9.827,-3.00E-05,2.00E-05,-1.00E-05,9.918277643,6.384911708,3.194859583,3.374831295,1.989168312,3.194839338,3.154964674,1.916581371,3.154964674,1.916581371,2.809301676,0,3.40576368,3.672521182,2.009486664,3.535197642,3.27606665,1.937042717,3.185021414,1.92962226,2.809301676,0,3.535255666,4.864791054,2.055929694,3.538240546,5.395800863,3.781024543,3.276045208,1.929623251,2.809303946,0.2993,1.346
39,227,40,0.25,0.4375,0.3125,6.0905,6.0882,14.9241,-7.30E-04,3.22E-02,-5.00E-01,7.823365932,2.920526056,2.920526056,2.844437501,1.956191516,3.594125456,2.956702312,1.954315865,2.957037114,2.022189999,2.788844164,3.413009141,3.543262564,2.844437501,1.956451052,5.547755669,2.958132621,1.957531614,2.957037114,2.022189999,2.860976716,0,5.874716421,2.956702312,1.957531614,0,3.497103308,3.562615565,0,3.616921728,2.994646369,0.366,1.3392
40,194,80,0.0938,0.4688,0.4375,6.6763,6.676,24.591,-5.00E-05,0.00E+00,-5.00E-01,9.828064984,3.337984751,3.337984751,3.337984751,1.92719447,6.995941644,3.338140814,1.927227389,3.337984751,1.92719447,2.788329859,3.337984751,3.338584487,3.338584487,1.927573709,0,12.74088172,2.015234508,3.338140814,2.015234508,2.788329859,3.338140814,0,3.628155866,2.015234508,0,0,2.015234508,3.338140814,2.198763393,2.86290681,0.2545,0.927
41,12,80,0.2812,0.3438,0.375,24.5303,6.2989,6.2039,0.00E+00,-2.55E-01,0.00E+00,9.749919814,3.149472475,3.149472475,3.149472475,1.883286504,3.149472475,3.149472475,1.883286504,3.149472475,1.883286504,2.72254796,3.149472475,0,3.304231476,1.883286504,3.187329652,3.304231476,1.955023299,0,1.883286504,2.72254796,4.564765165,0,3.304231476,1.883286504,3.304231476,3.653866127,0,0,1.883288854,2.722553327,0.1647,1.5402
42,33,80,0.8125,0.0312,0.1562,10.0379,8.6076,9.2385,-9.00E-05,-3.00E-05,-2.00E-05,9.27631457,0,3.053006185,4.23492893,1.796686365,2.939785803,2.939785803,1.785895385,3.331811607,1.78594457,2.63085223,0,6.343796445,0,1.82092648,2.96745167,2.96745167,1.785906966,3.429953637,1.829675177,2.630857784,0,0,0,7.693008185,3.052956169,3.167439822,1.78594457,4.543258565,1.939347281,2.680845993,0.1573,3.4388
43,33,80,0.625,0.0312,0.3438,10.3335,8.8397,9.4691,-7.00E-05,-2.00E-05,-1.00E-05,9.527915363,0,3.282052023,3.140413397,1.848811662,3.052750805,3.024143256,1.837150564,3.052750805,1.837178347,2.700791288,0,3.402685105,3.140450365,1.866401114,3.248528085,3.140413397,1.837159696,3.140450365,1.848802346,2.700795747,0,3.407969412,0,0,3.293522006,6.508339329,1.837159696,3.140450365,1.866425731,2.750093277,0.2876,2.27
44,194,80,0.9688,0.0312,0,6.0828,6.0824,23.3707,-1.10E-04,-3.00E-05,-5.00E-01,9.080661173,0,3.040997074,0,2.023285755,3.040997074,0,1.755541917,0,0,2.597899413,0,5.267517681,0,3.652789479,3.040997074,0,1.915227746,0,0,2.597899413,0,5.842671587,0,5.145084252,3.041403235,0,2.023285755,0,0,2.670542866,0.2093,3.9989
45,206,80,0.4062,0.3438,0.25,9.4551,9.4548,9.4548,-5.00E-05,-6.00E-05,5.00E-05,9.454899985,3.123667757,3.123667757,3.123667757,1.992953809,3.123707194,3.123667757,1.992996309,3.123830256,1.99297141,2.622641874,3.123719839,3.123707194,4.72740323,1.992955466,3.123873156,3.577406779,2.019343053,8.188025781,1.992980849,2.622641874,3.577466648,4.727551745,4.72740323,1.99310915,4.72740323,4.727551745,2.019343053,0,2.019334593,2.649106975,0.2108,2.3055
46,12,80,0.5,0.5,0,24.402,6.0269,5.7748,1.00E-05,-2.39E-01,0.00E+00,9.377556621,3.01342811,3.01342811,0,1.826105068,3.01342811,0,1.826105068,0,0,2.594366737,3.258605221,0,0,1.826105068,3.01342811,0,1.826105068,0,0,2.594366737,3.594569301,0,0,1.853906904,3.258605221,0,1.826105068,0,0,2.64272722,0.0219,2.8387
47,194,80,0.6875,0.2188,0.0938,6.2346,6.2343,23.7022,-2.70E-04,-6.00E-05,-5.00E-01,9.274769878,3.117157789,3.117157789,3.466971438,1.799486879,3.117157789,3.117157789,1.799486879,3.117298319,1.799486879,2.64738351,3.117162994,3.117157789,6.694698885,1.94239673,3.117157789,3.117162994,1.799486879,9.068325549,1.799834963,2.64738351,5.399243947,3.117162994,6.695323373,2.068756119,3.117157789,3.117298319,1.94239673,9.068522503,1.799837969,2.64738351,0.3124,2.0234
48,33,80,0.625,0.1562,0.2188,10.1949,8.7348,9.3631,-6.00E-05,-3.00E-05,-2.00E-05,9.41207109,3.211464654,2.984989173,3.211267508,1.81319091,2.984989173,3.099847504,1.813181894,3.241003603,1.824382632,2.66837341,5.485757032,3.013130631,3.397617606,1.813222022,3.013130631,3.099894448,1.81319091,3.397617606,1.845501589,2.668377509,6.443036978,3.254948647,3.399160628,1.856385105,3.099847504,7.949029375,1.813222022,5.097441994,3.583367241,2.718367946,0.2123,2.5317
49,227,40,0.0625,0.625,0.3125,10.4654,6.0606,14.7182,3.36E-02,3.87E-02,8.63E-01,7.778749026,2.954377781,3.046216614,2.954377781,1.899406917,0,3.030447805,2.08577756,2.954377839,1.899406917,2.836202664,3.046926544,3.491833811,2.954378077,1.913372629,0,6.939456936,2.128254772,3.565259579,1.913372629,2.836202664,3.49246891,0,3.585912339,4.588887225,0,0,0,0,6.368656995,2.909079019,0.2456,0.6786
50,194,80,0.8438,0.125,0.0312,6.142,6.1416,23.5046,-2.10E-04,-3.00E-05,-5.00E-01,9.156971336,3.070817228,3.070697499,3.070697499,1.772680644,3.070697499,3.070817228,1.772680644,0,2.040919544,2.617418215,9.501227197,3.070697499,0,1.773045986,3.070697499,3.070989418,1.926201905,0,2.04160383,2.690347147,12.146124,3.070989418,0,1.926201905,3.070989418,5.876149802,1.926201905,0,2.041614149,2.690589139,0.2261,3.4819
51,167,30,0.4167,0.3333,0.25,5.0862,5.0858,13.6981,1.00E-04,-1.10E-04,-5.00E-01,6.744966005,2.981156745,2.798677903,2.798677903,1.976422157,2.798677903,3.427024773,1.976321876,2.981363754,1.976321867,2.698644688,3.719457912,0,5.428574626,1.97642269,3.719670181,3.427182352,1.976321876,11.78648861,1.976422166,2.698644688,4.050351775,0,6.849029678,1.976460223,5.869289454,9.647707581,1.97642269,0,1.976607319,2.698787025,0.1608,2.5143
52,194,80,0.5,0.5,0,6.2225,6.2224,23.7226,-3.30E-04,3.00E-05,-5.00E-01,9.265536983,3.111186767,3.111186767,0,1.796356109,3.111186767,0,1.796059151,0,0,2.646263614,3.111252251,3.466689493,0,1.7963664,3.111204589,0,1.796059151,0,0,2.646263614,5.388798877,3.466689493,0,1.944069193,3.466288013,0,1.944069193,0,0,2.719741475,0.1117,2.9429
53,206,80,0.0625,0.0938,0.8438,10.1256,10.1256,10.1258,-2.00E-05,-2.00E-05,2.00E-05,10.12566666,9.013136616,3.846607363,3.345329304,2.134395085,3.363029507,3.345403243,2.191912076,3.345329304,2.134373832,2.808729991,0,5.062890104,3.345403243,2.191969002,0,3.345427358,2.245217125,3.345373753,2.134380657,2.808729991,0,12.43586417,3.345427358,2.191983482,0,6.06832187,6.299985303,3.345403243,2.134384024,2.837082688,0.0908,0.9961
54,194,80,0.4062,0.125,0.4688,6.5988,6.5984,24.3959,-2.70E-04,-1.40E-04,-5.00E-01,9.725858654,6.390113711,3.29921505,3.29921505,1.90475693,3.29921505,3.29921505,1.90475693,3.29921505,1.90475693,2.760821317,7.911534581,3.29921505,3.29921505,1.905160648,3.299693199,3.29921505,1.90475693,3.299693199,1.90475693,2.760821317,13.47050599,4.879540555,3.299419355,1.999247981,12.63510117,3.299419355,1.999247981,4.879255979,1.999247981,2.760821317,0.385,1.2886
55,227,40,0.4375,0.5625,0,10.0463,5.7672,14.2585,-7.50E-02,-6.25E-02,8.65E-01,7.448742247,2.88358527,2.820199875,0,1.810960472,2.904740146,0,1.85093375,0,0,2.707391988,2.88358527,2.820200044,0,1.810960472,3.501729696,0,1.853604697,0,0,2.707391988,3.363782744,2.904740146,0,6.688965914,0,0,1.94062131,0,0,2.768241859,0.1185,2.3298
56,167,30,0.5,0.5,0,4.936,4.9356,13.3762,1.30E-04,-1.60E-04,-5.00E-01,6.559310389,2.907868513,2.808998842,0,1.911921363,2.907868513,0,1.912007307,0,0,2.59024117,2.908045981,6.68809248,0,1.911921375,2.908045981,0,1.912007319,0,0,2.59024117,3.879093638,0,0,1.912038091,5.291384317,0,1.912089637,0,0,2.59024117,0.0467,3.7759
57,33,40,0.4375,0,0.5625,5.3319,9.098,9.7263,-5.00E-05,1.00E-05,-1.00E-05,7.784998433,0,0,0,0,3.147960281,3.11830034,1.933789702,3.157700012,1.89440329,2.778863671,0,0,0,0,6.60567316,3.339223354,2.049365934,3.157700012,2.214103968,2.77886704,0,0,0,0,0,9.308693018,2.124525282,6.69523221,3.834434073,2.827280491,0.2358,1.7358
58,33,80,0.125,0.8125,0.0625,10.2554,8.8031,9.4214,4.00E-05,-3.00E-05,-3.00E-05,9.474752931,3.004415084,3.042042379,3.042121586,1.824045337,3.372364331,3.042042379,1.82404275,7.890279187,1.824045337,2.684705629,3.032602651,3.120109626,3.232570656,1.82408708,4.597941214,3.404314487,1.835276602,0,1.82408708,2.736491313,3.120109626,3.410849259,3.232636722,1.835281179,4.761954787,3.863433621,1.856999517,0,2.141588067,2.905964289,0.0728,2.1497
59,167,30,0.5,0.5,0,4.936,4.9356,13.3762,1.30E-04,-1.60E-04,-5.00E-01,6.559310389,2.893919746,2.732915102,0,1.920327536,2.732915102,0,1.920412469,0,0,2.618964637,3.331443679,2.732915102,0,1.920327544,3.61812428,0,1.920447664,0,0,2.618964637,0,0,0,1.920521911,6.68809248,0,1.920498109,0,0,2.619092243,0.0617,3.7029
60,206,80,0.6562,0.3438,0,9.1287,9.1282,9.1282,-7.00E-05,-7.00E-05,5.00E-05,9.128366644,3.031680042,3.015749875,0,1.924119241,3.015749875,0,1.924106437,0,0,2.532043309,3.031736283,3.015947397,0,1.924120512,3.015749875,0,1.924282316,0,0,2.557597151,4.56409438,0,0,1.924149906,3.015836406,0,1.949570994,0,0,2.557737955,0.095,3.8226
